id,created_at,updated_at,symbol,name,market,exchange,instrument_type,trading_currency,lot_size,tick_size,tradable,is_high_dividend,status,data_source,notes
94,2026-03-08 11:48:23.694734+00:00,2026-03-08 11:48:23.694737+00:00,601216,君正集团,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
95,2026-03-08 11:48:23.695148+00:00,2026-03-08 11:48:23.695152+00:00,601225,陕西煤业,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
96,2026-03-08 11:48:23.695555+00:00,2026-03-08 11:48:23.695559+00:00,601229,上海银行,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
97,2026-03-08 11:48:23.695966+00:00,2026-03-08 11:48:23.695970+00:00,601288,农业银行,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
98,2026-03-08 11:48:23.696376+00:00,2026-03-08 11:48:23.696380+00:00,601318,中国平安,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
99,2026-03-08 11:48:23.696777+00:00,2026-03-08 11:48:23.696780+00:00,601328,交通银行,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
100,2026-03-08 11:48:23.697188+00:00,2026-03-08 11:48:23.697191+00:00,601339,百隆东方,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000015,
101,2026-03-08 11:48:23.697593+00:00,2026-03-08 11:48:23.697596+00:00,601398,工商银行,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
102,2026-03-08 11:48:23.697991+00:00,2026-03-08 11:48:23.697994+00:00,601598,中国外运,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
103,2026-03-08 11:48:23.698387+00:00,2026-03-08 11:48:23.698390+00:00,601658,邮储银行,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
104,2026-03-08 11:48:23.698797+00:00,2026-03-08 11:48:23.698801+00:00,601666,平煤股份,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
105,2026-03-08 11:48:23.699194+00:00,2026-03-08 11:48:23.699198+00:00,601668,中国建筑,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
106,2026-03-08 11:48:23.699592+00:00,2026-03-08 11:48:23.699595+00:00,601699,潞安环能,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
107,2026-03-08 11:48:23.699993+00:00,2026-03-08 11:48:23.699996+00:00,601717,中创智领,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
108,2026-03-08 11:48:23.700391+00:00,2026-03-08 11:48:23.700394+00:00,601818,光大银行,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
109,2026-03-08 11:48:23.700795+00:00,2026-03-08 11:48:23.700799+00:00,601825,沪农商行,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
110,2026-03-08 11:48:23.701189+00:00,2026-03-08 11:48:23.701192+00:00,601838,成都银行,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
111,2026-03-08 11:48:23.701585+00:00,2026-03-08 11:48:23.701588+00:00,601857,中国石油,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
